Cabinet,Dept,Program,Expense Category,FY18 Actual,FY19 Actual,20 Budget,21 Budget
Education,Boston Public Schools,Hale Elementary School,Equipment,"6,778", -   , -   , -   
Education,Boston Public Schools,Higginson Elementary School,Personnel Services,"1,935,441","1,998,374","2,486,358","2,756,599"
Education,Boston Public Schools,Higginson Elementary School,Contractual Services, -   ,"54,652","44,338",300
Education,Boston Public Schools,Higginson Elementary School,Supplies & Materials,"4,490","31,644","34,419",815
Education,Boston Public Schools,Higginson Elementary School,Equipment,"15,497","21,800", -   , -   
Education,Boston Public Schools,UP Academy Holland,Personnel Services,"5,432,721","5,589,075","7,603,685","8,118,688"
Education,Boston Public Schools,UP Academy Holland,Contractual Services,"1,209,850","892,045","193,808", -   
Education,Boston Public Schools,Holmes Elementary School,Personnel Services,"3,988,926","3,853,154","4,092,282","4,287,885"
Education,Boston Public Schools,Holmes Elementary School,Contractual Services, -   ,"161,032","211,501","52,970"
Education,Boston Public Schools,Holmes Elementary School,Supplies & Materials,"82,550","157,799","34,444","12,721"
Education,Boston Public Schools,Holmes Elementary School,Equipment, -   ,"15,682", -   , -   
Education,Boston Public Schools,John F.  Kennedy School,Personnel Services,"2,584,926","2,799,703","3,713,371","3,858,231"
Education,Boston Public Schools,John F.  Kennedy School,Contractual Services,"3,420","153,127","107,351","134,226"
Education,Boston Public Schools,John F.  Kennedy School,Supplies & Materials,"47,751","34,240","18,205","29,000"
Education,Boston Public Schools,John F.  Kennedy School,Equipment,"9,430","13,701","15,795","20,000"
Education,Boston Public Schools,Patrick Kennedy School,Personnel Services,"2,491,232","2,578,774","2,887,318","3,325,384"
Education,Boston Public Schools,Patrick Kennedy School,Contractual Services, -   , -   , -   ,"6,870"
Education,Boston Public Schools,Patrick Kennedy School,Supplies & Materials,"17,122","18,019","12,725","49,537"
Education,Boston Public Schools,Kenny Elementary School,Personnel Services,"2,901,502","2,964,321","3,242,751","3,979,145"
Education,Boston Public Schools,Kenny Elementary School,Contractual Services, -   ,"19,926", -   , -   
Education,Boston Public Schools,Kenny Elementary School,Supplies & Materials,"30,951","34,264","3,360","10,176"
Education,Boston Public Schools,Kenny Elementary School,Equipment, -   ,"2,996", -   , -   
Education,Boston Public Schools,Harvard/Kent,Personnel Services,"4,782,633","4,553,375","4,808,793","5,445,792"
Education,Boston Public Schools,Harvard/Kent,Contractual Services, -   ,"15,000", -   , -   
Education,Boston Public Schools,Harvard/Kent,Supplies & Materials,"13,462","34,292","18,716","21,181"
Education,Boston Public Schools,Harvard/Kent,Equipment,250,999, -   , -   
Education,Boston Public Schools,Lee Academy,Personnel Services,"2,321,489","2,309,503","2,623,126","2,791,001"
Education,Boston Public Schools,Lee Academy,Contractual Services,"117,160","37,257", -   , -   
Education,Boston Public Schools,Lee Academy,Supplies & Materials,"17,539","11,468","3,315","4,138"
Education,Boston Public Schools,Lee Academy,Equipment,"1,587", -   , -   , -   
Education,Boston Public Schools,Manning Elementary School,Personnel Services,"1,920,071","1,921,151","2,206,468","2,469,063"
Education,Boston Public Schools,Manning Elementary School,Contractual Services,"5,570","5,848","18,190", -   
Education,Boston Public Schools,Manning Elementary School,Supplies & Materials,"2,824","8,345","3,464","1,198"
Education,Boston Public Schools,Manning Elementary School,Equipment, -   ,"4,223", -   , -   
Education,Boston Public Schools,Mason Elementary School,Personnel Services,"2,582,192","2,529,083","3,323,716","3,592,028"
Education,Boston Public Schools,Mason Elementary School,Contractual Services,"92,343","112,708","153,949","66,423"
Education,Boston Public Schools,Mason Elementary School,Supplies & Materials,"58,917","23,760","6,366","10,288"
Education,Boston Public Schools,Mason Elementary School,Equipment,"44,945", -   , -   , -   
Education,Boston Public Schools,Mather Elementary School,Personnel Services,"4,887,725","4,864,765","5,488,810","5,610,670"
Education,Boston Public Schools,Mather Elementary School,Contractual Services, -   ,"92,910",350,600
Education,Boston Public Schools,Mather Elementary School,Supplies & Materials,"16,007","37,766","4,517","1,553"
Education,Boston Public Schools,Mather Elementary School,Equipment, -   ,"19,326", -   , -   
Education,Boston Public Schools,Mattahunt Elementary School,Personnel Services,"1,792", -   , -   , -   
Education,Boston Public Schools,Mattapan Early Elementary,Personnel Services,"3,939,154","5,290,982","6,373,117","6,665,223"
Education,Boston Public Schools,Mattapan Early Elementary,Contractual Services, -   ,"3,235","16,597","6,697"
Education,Boston Public Schools,Mattapan Early Elementary,Supplies & Materials,"9,066","50,084","23,040",662
Education,Boston Public Schools,Mattapan Early Elementary,Equipment, -   ,"19,996", -   , -   
Education,Boston Public Schools,Mendell Elementary School,Personnel Services,"2,130,579","2,274,010","2,826,297","3,118,744"
Education,Boston Public Schools,Mendell Elementary School,Contractual Services,"11,450","23,503","15,590","18,670"
Education,Boston Public Schools,Mendell Elementary School,Supplies & Materials,"6,511","5,232","1,605","59,548"
Education,Boston Public Schools,Mendell Elementary School,Equipment,"7,642","5,928", -   ,"3,070"
Education,Boston Public Schools,Mozart Elementary School,Personnel Services,"1,807,867","1,834,448","2,104,442","2,310,813"
Education,Boston Public Schools,Mozart Elementary School,Supplies & Materials,"3,977","12,764","9,375",659
Education,Boston Public Schools,O'Donnell Elementary School,Personnel Services,"2,009,857","2,041,672","2,367,285","3,008,654"
Education,Boston Public Schools,O'Donnell Elementary School,Contractual Services,600,"5,710",350,600
Education,Boston Public Schools,O'Donnell Elementary School,Supplies & Materials,"7,208","36,157","10,542","19,663"
Education,Boston Public Schools,Otis Elementary School,Personnel Services,"3,112,724","3,073,696","3,486,772","4,051,076"
Education,Boston Public Schools,Otis Elementary School,Contractual Services,594, -   , -   , -   
Education,Boston Public Schools,Otis Elementary School,Supplies & Materials,"30,204","32,907","44,724","17,621"
Education,Boston Public Schools,Otis Elementary School,Equipment, -   , -   ,"5,940","11,588"
Education,Boston Public Schools,Perkins Elementary School,Personnel Services,"1,715,668","1,725,416","1,836,429","2,589,954"
Education,Boston Public Schools,Perkins Elementary School,Contractual Services,"10,296","5,450", -   , -   
Education,Boston Public Schools,Perkins Elementary School,Supplies & Materials,"15,319","7,282","25,538","21,815"
Education,Boston Public Schools,Perkins Elementary School,Equipment,"4,730","12,190", -   , -   
Education,Boston Public Schools,Philbrick Elementary School,Personnel Services,"1,375,100","1,339,117","1,676,904","1,912,473"
Education,Boston Public Schools,Philbrick Elementary School,Contractual Services,"4,366",800, -   , -   
Education,Boston Public Schools,Philbrick Elementary School,Supplies & Materials,"10,047","4,887",610,"6,930"
Education,Boston Public Schools,Philbrick Elementary School,Equipment,731, -   , -   , -   
Education,Boston Public Schools,Quincy Elementary School,Personnel Services,"6,842,461","6,978,726","7,964,568","8,479,744"
Education,Boston Public Schools,Quincy Elementary School,Contractual Services,"10,800","64,059","71,456","43,678"
Education,Boston Public Schools,Quincy Elementary School,Supplies & Materials,"20,277","21,716","56,870","38,813"
Education,Boston Public Schools,Russell Elementary School,Personnel Services,"3,042,275","3,227,929","3,591,507","3,794,243"
Education,Boston Public Schools,Russell Elementary School,Contractual Services, -   ,"54,336","80,625","79,511"
Education,Boston Public Schools,Russell Elementary School,Supplies & Materials,"38,191","37,628","8,754","21,462"
Education,Boston Public Schools,Russell Elementary School,Equipment,453,"3,944", -   , -   
Education,Boston Public Schools,P. A. Shaw Elementary,Personnel Services,"1,826,831","1,799,917","2,169,452","2,276,582"
Education,Boston Public Schools,P. A. Shaw Elementary,Contractual Services, -   ,"5,260","6,000", -   
Education,Boston Public Schools,P. A. Shaw Elementary,Supplies & Materials,"11,927","19,408","2,000","8,146"
Education,Boston Public Schools,Sumner Elementary School,Personnel Services,"5,207,373","4,955,639","5,386,121","5,446,689"
Education,Boston Public Schools,Sumner Elementary School,Contractual Services, -   ,500, -   , -   
Education,Boston Public Schools,Sumner Elementary School,Supplies & Materials,"21,356","16,638",966,"6,756"
Education,Boston Public Schools,Sumner Elementary School,Equipment,"10,596", -   , -   , -   
Education,Boston Public Schools,Taylor Elementary School,Personnel Services,"4,320,045","4,498,902","5,116,180","4,691,613"
Education,Boston Public Schools,Taylor Elementary School,Contractual Services, -   ,"115,993", -   ,"12,681"
Education,Boston Public Schools,Taylor Elementary School,Supplies & Materials,"8,316","6,086","28,195","211,114"
Education,Boston Public Schools,Taylor Elementary School,Equipment, -   ,"2,999","88,510","19,260"
Education,Boston Public Schools,Tynan Elementary School,Personnel Services,"3,272,915","3,221,547","3,902,738","4,292,863"
Education,Boston Public Schools,Tynan Elementary School,Contractual Services,"3,813", -   , -   , -   
Education,Boston Public Schools,Tynan Elementary School,Supplies & Materials,"7,814","1,035","5,468","2,072"
Education,Boston Public Schools,Winship Elementary School,Personnel Services,"2,334,964","2,038,362","2,328,512","2,604,343"
Education,Boston Public Schools,Winship Elementary School,Contractual Services,"3,280","71,693", -   ,"34,372"
Education,Boston Public Schools,Winship Elementary School,Supplies & Materials,"3,842","9,420","1,315", -   
Education,Boston Public Schools,Winthrop Elementary School,Personnel Services,"2,567,637","2,448,841","2,778,469","2,831,663"
Education,Boston Public Schools,Winthrop Elementary School,Contractual Services,"23,384","134,427","67,627","33,853"
Education,Boston Public Schools,Winthrop Elementary School,Supplies & Materials,999,"2,999", -   ,"24,742"
Education,Boston Public Schools,Winthrop Elementary School,Equipment,"18,968", -   , -   , -   
Education,Boston Public Schools,Boston Latin School,Personnel Services,"13,049,878","13,478,453","15,356,409","16,123,670"
Education,Boston Public Schools,Boston Latin School,Contractual Services,"4,130","15,000","40,837","51,736"
Education,Boston Public Schools,Boston Latin School,Supplies & Materials,"148,434","37,963","56,784","186,375"
Education,Boston Public Schools,Boston Latin School,Current Charges & Obligations,"10,400","10,650","12,000","13,501"
Education,Boston Public Schools,Boston Latin School,Equipment,"1,257", -   , -   , -   
Education,Boston Public Schools,Latin Academy,Personnel Services,"9,388,895","9,870,939","11,584,866","12,190,275"
Education,Boston Public Schools,Latin Academy,Contractual Services,"1,050", -   , -   , -   
Education,Boston Public Schools,Latin Academy,Supplies & Materials,"69,206","93,522","80,166","73,141"
Education,Boston Public Schools,Latin Academy,Equipment, -   ,"57,362", -   , -   
Education,Boston Public Schools,O'Bryant School,Personnel Services,"8,540,012","8,607,496","11,450,124","12,237,142"
Education,Boston Public Schools,O'Bryant School,Contractual Services,"1,062", -   ,"3,150","23,150"
Education,Boston Public Schools,O'Bryant School,Supplies & Materials,"51,867","58,911","11,084","91,492"
Education,Boston Public Schools,O'Bryant School,Equipment, -   ,"1,188","6,318","105,691"
Education,Boston Public Schools,Newcomers Academy,Personnel Services,"2,263,974","2,234,337","2,809,999","2,917,319"
Education,Boston Public Schools,Newcomers Academy,Contractual Services,"19,420","33,434","25,485","37,808"
Education,Boston Public Schools,Newcomers Academy,Supplies & Materials,"24,289","19,713","33,938","25,000"
Education,Boston Public Schools,Newcomers Academy,Equipment,"19,128",65, -   , -   
Education,Boston Public Schools,Another Course to College,Personnel Services,"1,885,714","1,911,670","2,482,709","2,851,229"
Education,Boston Public Schools,Another Course to College,Contractual Services,"29,466", -   ,"30,700","36,432"
Education,Boston Public Schools,Another Course to College,Supplies & Materials,"6,072","14,960","40,159","15,000"
Education,Boston Public Schools,Another Course to College,Equipment, -   , -   ,"38,000","50,000"
Education,Boston Public Schools,Boston Arts - Pilot High School,Personnel Services,"4,166,028","4,175,960","5,046,246","5,355,419"
Education,Boston Public Schools,Boston Arts - Pilot High School,Contractual Services, -   , -   ,"2,100","1,500"
Education,Boston Public Schools,Boston Arts - Pilot High School,Supplies & Materials,"16,318", -   ,"20,764","1,500"
Education,Boston Public Schools,Boston Arts - Pilot High School,Current Charges & Obligations, -   ,"2,375", -   , -   
Education,Boston Public Schools,Boston Arts - Pilot High School,Equipment,"1,810", -   , -   , -   
Education,Boston Public Schools,Boston Community Leadrshp Acad,Personnel Services,"4,378,644","4,391,713","5,462,365","5,721,909"
Education,Boston Public Schools,Boston Community Leadrshp Acad,Contractual Services, -   ,"23,275","134,047","47,481"
Education,Boston Public Schools,Boston Community Leadrshp Acad,Supplies & Materials,"13,182","4,270","8,062","10,000"
Education,Boston Public Schools,Boston Community Leadrshp Acad,Equipment, -   ,430, -   , -   
Education,Boston Public Schools,Brighton High School,Personnel Services,"6,271,802","5,293,046","6,506,942","6,400,513"
Education,Boston Public Schools,Brighton High School,Contractual Services,"12,000","56,500","58,675","112,380"
Education,Boston Public Schools,Brighton High School,Supplies & Materials,"23,378","11,489","40,461","52,175"
Education,Boston Public Schools,Brighton High School,Current Charges & Obligations,"3,819", -   , -   , -   
Education,Boston Public Schools,Brighton High School,Equipment,"8,430","3,040","3,000", -   
Education,Boston Public Schools,Burke High School,Personnel Services,"3,465,953","3,405,040","5,978,225","5,486,718"
Education,Boston Public Schools,Burke High School,Contractual Services,"4,200","84,494","97,292","93,304"
Education,Boston Public Schools,Burke High School,Supplies & Materials,"13,155", -   ,"15,823","1,000"
Education,Boston Public Schools,Charlestown High School,Personnel Services,"8,084,369","8,019,485","9,635,984","10,174,595"
Education,Boston Public Schools,Charlestown High School,Contractual Services,"1,584","263,365","149,413","105,167"
Education,Boston Public Schools,Charlestown High School,Supplies & Materials,772,"3,700","10,264","1,000"
Education,Boston Public Schools,Charlestown High School,Equipment,"1,022","21,233", -   , -   
Education,Boston Public Schools,Greater Egleston High School,Personnel Services,"1,591,625","1,285,039","1,597,236","1,456,880"
Education,Boston Public Schools,Greater Egleston High School,Contractual Services,"1,770", -   ,"5,442", -   
Education,Boston Public Schools,Greater Egleston High School,Supplies & Materials,"45,331","5,825", -   , -   
Education,Boston Public Schools,Greater Egleston High School,Equipment,"32,652", -   , -   , -   
Education,Boston Public Schools,DEC High School,Personnel Services,"534,183","5,552", -   , -   
Education,Boston Public Schools,DEC High School,Contractual Services,"37,175", -   , -   , -   
Education,Boston Public Schools,DEC High School,Supplies & Materials,"12,509", -   , -   , -   
Education,Boston Public Schools,DEC High School,Equipment,"2,329", -   , -   , -   
Education,Boston Public Schools,Boston  Day & Evening Acadmy,Personnel Services,"3,141,992","3,522,355","4,548,076","4,938,037"
Education,Boston Public Schools,Boston  Day & Evening Acadmy,Contractual Services, -   ,"76,577","19,309","3,900"
Education,Boston Public Schools,Boston  Day & Evening Acadmy,Supplies & Materials, -   , -   ,"9,135", -   
Education,Boston Public Schools,East Boston High School,Personnel Services,"10,504,921","10,226,211","11,128,054","11,583,716"
Education,Boston Public Schools,East Boston High School,Contractual Services,"62,308","219,030","149,300","22,214"
Education,Boston Public Schools,East Boston High School,Supplies & Materials,"94,895","133,516","73,550","20,000"
Education,Boston Public Schools,East Boston High School,Equipment,"51,939","33,304","30,868", -   
Education,Boston Public Schools,English High School,Personnel Services,"4,826,236","5,094,760","7,448,664","9,017,190"
Education,Boston Public Schools,English High School,Contractual Services,"16,560","98,780","122,234","173,988"
Education,Boston Public Schools,English High School,Supplies & Materials,"94,527","72,853","3,759","75,170"
Education,Boston Public Schools,English High School,Equipment,518,"28,740", -   , -   
Education,Boston Public Schools,Fenway - Pilot High School,Personnel Services,"2,839,351","3,021,175","3,837,568","4,180,924"
Education,Boston Public Schools,Fenway - Pilot High School,Contractual Services,"4,920", -   ,350,300
Education,Boston Public Schools,Fenway - Pilot High School,Supplies & Materials,"4,178", -   ,"10,698", -   
Education,Boston Public Schools,Fenway - Pilot High School,Equipment,"4,496", -   , -   , -   
Education,Boston Public Schools,Lyon Pilot High 9-12,Personnel Services,"2,282,933","2,269,233","2,983,302","3,202,352"
Education,Boston Public Schools,Lyon Pilot High 9-12,Contractual Services,"145,686","116,485","69,534","29,000"
Education,Boston Public Schools,Lyon Pilot High 9-12,Supplies & Materials,"108,531","80,135","52,916","20,000"
Education,Boston Public Schools,Lyon Pilot High 9-12,Current Charges & Obligations, -   ,"1,958", -   , -   
Education,Boston Public Schools,Lyon Pilot High 9-12,Equipment,"1,869","10,000","10,000", -   
Education,Boston Public Schools,Health Careers - Pilot High School,Personnel Services,"3,516,437","3,985,316","4,719,904","5,170,260"
Education,Boston Public Schools,Health Careers - Pilot High School,Contractual Services, -   ,"14,725","12,800", -   
Education,Boston Public Schools,Health Careers - Pilot High School,Equipment, -   ,"29,223", -   , -   
Education,Boston Public Schools,Boston International High Schl,Personnel Services,"2,279,344","2,427,633","3,048,682","3,379,710"
Education,Boston Public Schools,Boston International High Schl,Contractual Services,"2,840","82,947","97,131","115,873"
Education,Boston Public Schools,Boston International High Schl,Supplies & Materials,"30,083","41,709","15,353","25,761"
Education,Boston Public Schools,Boston International High Schl,Equipment,"4,000","9,123","15,001","16,601"
Education,Boston Public Schools,Boston Adult Technical Academy,Personnel Services,"2,077,688","2,127,907","2,433,605","2,624,991"
Education,Boston Public Schools,Boston Adult Technical Academy,Contractual Services,"51,602","45,077","114,676","33,413"
Education,Boston Public Schools,Boston Adult Technical Academy,Supplies & Materials,"46,321","51,374","32,016","18,000"
Education,Boston Public Schools,Boston Adult Technical Academy,Equipment,"9,862","11,944","6,000","3,159"
Education,Boston Public Schools,HPEC: Community Academy of Sci,Personnel Services,"3,832,944","3,945,217","4,575,698","5,044,971"
Education,Boston Public Schools,HPEC: Community Academy of Sci,Contractual Services,"2,350","66,281", -   ,"13,070"
Education,Boston Public Schools,HPEC: Community Academy of Sci,Supplies & Materials,"12,969","7,726","16,333","2,000"
Education,Boston Public Schools,Madison Park High School,Personnel Services,"11,111,305","11,615,123","15,400,229","18,709,632"
Education,Boston Public Schools,Madison Park High School,Contractual Services,"192,385","337,771","262,607","195,681"
Education,Boston Public Schools,Madison Park High School,Supplies & Materials,"247,205","387,855","406,601","451,803"
Education,Boston Public Schools,Madison Park High School,Equipment,"2,162","85,101", -   ,"2,873"
Education,Boston Public Schools,Margarita Muniz Academy,Personnel Services,"2,310,763","2,455,938","2,921,229","3,198,244"
Education,Boston Public Schools,Margarita Muniz Academy,Contractual Services,"26,615","60,500","41,179","19,518"
Education,Boston Public Schools,Margarita Muniz Academy,Supplies & Materials,"3,569","4,096","29,376","26,434"
Education,Boston Public Schools,Margarita Muniz Academy,Equipment, -   , -   , -   ,"3,000"
Education,Boston Public Schools,South Boston HS - Excel,Personnel Services,"4,205,988","4,464,925","5,762,835","5,862,528"
Education,Boston Public Schools,South Boston HS - Excel,Contractual Services, -   ,"2,500",700, -   
Education,Boston Public Schools,South Boston HS - Excel,Supplies & Materials,956,"45,314","23,301","26,750"
Education,Boston Public Schools,South Boston HS - Excel,Equipment, -   ,"1,338","2,562","2,635"
Education,Boston Public Schools,WREC: Urban Science Academy,Personnel Services,"3,488,352","3,403,403","1,307,636", -   
Education,Boston Public Schools,WREC: Urban Science Academy,Contractual Services,"8,200","78,889","362,224", -   
Education,Boston Public Schools,WREC: Urban Science Academy,Supplies & Materials,"24,279","6,121","7,373", -   
Education,Boston Public Schools,WREC: Urban Science Academy,Current Charges & Obligations, -   ,"4,900", -   , -   
Education,Boston Public Schools,West Roxbury Academy,Personnel Services,"4,291,879","3,908,531","126,259", -   
Education,Boston Public Schools,West Roxbury Academy,Contractual Services,"15,335","66,966", -   , -   
Education,Boston Public Schools,West Roxbury Academy,Supplies & Materials,"14,423","26,004", -   , -   
Education,Boston Public Schools,West Roxbury Academy,Current Charges & Obligations, -   ,"12,904","886,077", -   
Education,Boston Public Schools,West Roxbury Academy,Equipment,"8,216","12,552", -   , -   
Education,Boston Public Schools,Boston Collaborative High School,Personnel Services,"913,408","1,140,528","760,736","803,648"
Education,Boston Public Schools,Boston Collaborative High School,Contractual Services,"860,249","735,134","11,585", -   
Education,Boston Public Schools,Boston Collaborative High School,Supplies & Materials,432,"2,638","6,450", -   
Education,Boston Public Schools,Boston Collaborative High School,Equipment,"25,575","4,930", -   , -   
Education,Boston Public Schools,Snowden International School,Personnel Services,"3,694,918","3,880,330","4,680,912","4,903,588"
Education,Boston Public Schools,Snowden International School,Contractual Services,"7,915",62, -   ,"36,311"
Education,Boston Public Schools,Snowden International School,Supplies & Materials,"13,342","1,596","41,972","1,995"
Education,Boston Public Schools,Snowden International School,Current Charges & Obligations,"1,800", -   , -   , -   
Education,Boston Public Schools,Henderson Elementary,Personnel Services,"8,575,647","9,150,089","11,528,864","12,298,206"
Education,Boston Public Schools,Henderson Elementary,Contractual Services,"90,204","19,100","9,185","163,793"
Education,Boston Public Schools,Henderson Elementary,Supplies & Materials,"110,127","74,103","43,293","99,000"
Education,Boston Public Schools,Henderson Elementary,Equipment,"125,867","9,853", -   ,"15,270"
Education,Boston Public Schools,Beethoven Elementary School,Personnel Services,"2,897,499","2,989,224","3,343,594","3,613,441"
Education,Boston Public Schools,Beethoven Elementary School,Contractual Services,"9,465","5,220","6,500","13,000"
Education,Boston Public Schools,Beethoven Elementary School,Supplies & Materials,"30,577","35,514","19,967","22,544"
Education,Boston Public Schools,Beethoven Elementary School,Equipment, -   ,"5,151","50,000","20,000"
Education,Boston Public Schools,Mission Hill K-8,Personnel Services,"2,173,683","2,500,022","2,824,949","3,392,548"
Education,Boston Public Schools,Mission Hill K-8,Contractual Services,"18,798","51,427","8,066", -   
Education,Boston Public Schools,Mission Hill K-8,Supplies & Materials,601,"7,934","1,291", -   
Education,Boston Public Schools,Mission Hill K-8,Equipment,235, -   , -   , -   
Education,Boston Public Schools,Condon Elementary School,Personnel Services,"7,686,253","8,136,308","9,479,277","10,045,700"
Education,Boston Public Schools,Condon Elementary School,Contractual Services,"5,000","33,793","21,497","98,415"
Education,Boston Public Schools,Condon Elementary School,Supplies & Materials,"41,894","94,881","55,797","31,836"
Education,Boston Public Schools,Condon Elementary School,Equipment, -   ,"8,665", -   , -   
Education,Boston Public Schools,Curley School K-8,Personnel Services,"8,814,641","9,354,709","11,023,096","12,336,006"
Education,Boston Public Schools,Curley School K-8,Contractual Services,"9,450", -   , -   , -   
Education,Boston Public Schools,Curley School K-8,Supplies & Materials,"44,266","64,517","12,644","20,000"
Education,Boston Public Schools,Curley School K-8,Equipment,"5,246", -   , -   , -   
Education,Boston Public Schools,Eliot K-8,Personnel Services,"4,639,530","4,993,047","6,643,334","7,400,469"
Education,Boston Public Schools,Eliot K-8,Contractual Services,"10,560","9,400",856,"13,338"
Education,Boston Public Schools,Eliot K-8,Supplies & Materials,"121,948","114,044","14,611","20,000"
Education,Boston Public Schools,Eliot K-8,Equipment,"84,714","33,886", -   ,"21,100"
Education,Boston Public Schools,B T U Pilot,Personnel Services,"2,250,162","2,467,772","2,959,947","3,162,384"
Education,Boston Public Schools,B T U Pilot,Contractual Services, -   ,"7,512", -   , -   
Education,Boston Public Schools,B T U Pilot,Supplies & Materials,"15,539","7,969","3,025", -   
Education,Boston Public Schools,B T U Pilot,Equipment,"31,186", -   , -   , -   
Education,Boston Public Schools,Gardner Elementary School,Personnel Services,"3,609,986","3,674,758","4,391,241","4,724,673"
Education,Boston Public Schools,Gardner Elementary School,Contractual Services,"120,527","50,200","26,533","61,303"
Education,Boston Public Schools,Gardner Elementary School,Supplies & Materials,"11,999","12,932","16,148","15,001"
Education,Boston Public Schools,Gardner Elementary School,Equipment,"9,511", -   , -   , -   
Education,Boston Public Schools,"Greenwood, S K-8",Personnel Services,"3,767,605","3,781,529","4,613,643","5,210,336"
Education,Boston Public Schools,"Greenwood, S K-8",Contractual Services,"1,620","83,957","10,519","11,640"
Education,Boston Public Schools,"Greenwood, S K-8",Supplies & Materials,"30,198","40,807","41,556","30,514"
Education,Boston Public Schools,"Greenwood, S K-8",Equipment, -   ,"1,179", -   , -   
Education,Boston Public Schools,Haley Elementary School,Personnel Services,"4,374,729","4,211,161","5,118,067","5,105,561"
Education,Boston Public Schools,Haley Elementary School,Contractual Services,"66,183","92,368", -   ,"55,568"
Education,Boston Public Schools,Haley Elementary School,Supplies & Materials,"29,149","16,405","6,016","76,573"
Education,Boston Public Schools,Haley Elementary School,Equipment,"15,065",980, -   , -   
Education,Boston Public Schools,Hennigan Elementary School,Personnel Services,"5,356,105","5,371,805","6,219,222","7,330,361"
Education,Boston Public Schools,Hennigan Elementary School,Contractual Services,"8,945","113,084","151,602","120,324"
Education,Boston Public Schools,Hennigan Elementary School,Supplies & Materials,"15,949","18,946","13,576","65,468"
Education,Boston Public Schools,Hernandez K-8,Personnel Services,"3,004,737","2,955,209","3,534,474","3,950,206"
Education,Boston Public Schools,Hernandez K-8,Contractual Services, -   ,"1,575", -   ,"5,000"
Education,Boston Public Schools,Hernandez K-8,Supplies & Materials,"6,248","30,377","8,488","35,626"
Education,Boston Public Schools,Hernandez K-8,Equipment, -   ,954, -   , -   
Education,Boston Public Schools,Hurley K-8,Personnel Services,"2,861,837","2,771,229","3,313,963","3,636,424"
Education,Boston Public Schools,Hurley K-8,Supplies & Materials,"15,204","60,965","42,869","22,539"
Education,Boston Public Schools,Hurley K-8,Equipment, -   ,"48,150", -   , -   
Education,Boston Public Schools,Jackson/Mann K-8,Personnel Services,"6,822,437","6,264,713","7,430,949","7,571,566"
Education,Boston Public Schools,Jackson/Mann K-8,Contractual Services,"4,986","74,618","53,035","60,000"
Education,Boston Public Schools,Jackson/Mann K-8,Supplies & Materials,"24,905","47,009","13,939","2,800"
Education,Boston Public Schools,Kilmer K - 8,Personnel Services,"4,363,437","4,398,452","4,825,137","5,242,710"
Education,Boston Public Schools,Kilmer K - 8,Supplies & Materials,"9,587","10,700",299,"8,315"
Education,Boston Public Schools,Kilmer K - 8,Equipment,"28,160", -   , -   , -   
Education,Boston Public Schools,Lee Elementary School,Personnel Services,"7,655,370","7,872,101","9,528,630","10,461,117"
Education,Boston Public Schools,Lee Elementary School,Contractual Services, -   ,"52,047","128,468","118,262"
Education,Boston Public Schools,Lee Elementary School,Supplies & Materials,"26,703","119,147","11,728",238
Education,Boston Public Schools,Lee Elementary School,Current Charges & Obligations, -   ,500, -   , -   
Education,Boston Public Schools,Lee Elementary School,Equipment, -   ,"24,860","15,795", -   
Education,Boston Public Schools,Lyndon K-8,Personnel Services,"4,005,143","4,172,731","5,200,721","5,802,283"
Education,Boston Public Schools,Lyndon K-8,Contractual Services,"131,640", -   ,350,300
Education,Boston Public Schools,Lyndon K-8,Supplies & Materials,"122,233","89,514","92,995","100,344"
Education,Boston Public Schools,Lyndon K-8,Equipment, -   ,"40,221","50,000","50,000"
Education,Boston Public Schools,Lyon K - 8,Personnel Services,"2,225,566","2,176,415","2,563,423","2,724,338"
Education,Boston Public Schools,Lyon K - 8,Contractual Services, -   ,"6,538","5,773","4,100"
Education,Boston Public Schools,Lyon K - 8,Supplies & Materials,"13,117","20,335","39,487","94,210"
Education,Boston Public Schools,Lyon K - 8,Equipment,"4,935","25,589","5,400","4,500"
Education,Boston Public Schools,UP Academy Dorchester,Personnel Services,"5,707,318","5,509,596","6,919,727","7,093,852"
Education,Boston Public Schools,UP Academy Dorchester,Contractual Services,"427,971","497,107","141,781", -   
Education,Boston Public Schools,McKay K-8,Personnel Services,"5,537,569","5,928,721","7,292,968","8,053,166"
Education,Boston Public Schools,McKay K-8,Supplies & Materials,"59,725","51,275","50,351","44,000"
Education,Boston Public Schools,Murphy K-8,Personnel Services,"7,935,658","8,148,930","8,944,609","9,582,385"
Education,Boston Public Schools,Murphy K-8,Supplies & Materials,"22,389","28,994","1,978","5,196"
Education,Boston Public Schools,Murphy K-8,Equipment, -   ,825, -   , -   
Education,Boston Public Schools,Ohrenberger Elementary School,Personnel Services,"5,468,911","5,437,484","6,031,546","6,208,222"
Education,Boston Public Schools,Ohrenberger Elementary School,Contractual Services,"2,675", -   ,"8,500","15,350"
Education,Boston Public Schools,Ohrenberger Elementary School,Supplies & Materials,"53,082","70,222","51,013","38,364"
Education,Boston Public Schools,Ohrenberger Elementary School,Equipment, -   ,"2,605","67,500","36,500"
Education,Boston Public Schools,Orchard Gardens K-8 Pilot Schl,Personnel Services,"6,971,261","7,524,311","9,376,509","10,067,630"
